,company name,job_title,Location,Estimated salary,posted,rating,link
31,Flipped.ai,Machine Learning Engineer,Bangalore,₹8L - ₹12L (Employer Est.),30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7ff36218&cb=1681829928662&jobListingId=1008404163994&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-63b5e671e9ff8b24-
32,Episeio business solutions,Data Scientist,India,₹20L (Employer Est.),3d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_615402c4&cb=1681829928662&jobListingId=1008588924121&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-ec45200509d2a943-
33,AHRC Pvt Ltd,Data Scientist - Data Mining,Noida,₹10L - ₹15L (Employer Est.),30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=204&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ec3db6d0&cb=1681829928662&jobListingId=1008534683206&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-30ddd44d761e2e94-
34,PayU,Data Scientist,Bangalore,₹5L - ₹10L (Glassdoor Est.),26d,3.9,https://www.glassdoor.co.in/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_29948bcc&cb=1681829928662&jobListingId=1008545396546&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-a3c43693786817ea-
35,Lenskart,Data Scientist,Gurgaon,₹3L - ₹6L (Glassdoor Est.),30d+,4.1,https://www.glassdoor.co.in/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f4e8452a&cb=1681829928662&jobListingId=1007285294048&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-13027c95012596b8-
36,Cummins Inc.,Associate Data Scientist,Pune,Unrevealed,6d,4.2,https://www.glassdoor.co.in/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&cs=1_6d423759&cb=1681829928663&jobListingId=1008583431051&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-1d1459508954aafb-
37,UpTricks,Data Science Intern,Pune,Unrevealed,5d,4.8,https://www.glassdoor.co.in/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_696b2c59&cb=1681829928663&jobListingId=1008585326430&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-2d794ae768fa7ab8-
38,TheHRsoft,Senior Data Scientist,Bangalore,₹20L - ₹40L (Employer Est.),9d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=209&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6ff3989f&cb=1681829928663&jobListingId=1008577689152&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-40ab8dcfa80f77ba-
39,Venturesathi Business Services LLP,Data Scientist,Raurkela,₹6L (Employer Est.),30d+,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=210&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4e639577&cb=1681829928663&jobListingId=1008536617202&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-bf1f144caac660d3-
40,ShowTime Consulting,Data Scientist,Hyderābād,₹4L - ₹7L (Employer Est.),24d,Not available,https://www.glassdoor.co.in/partner/jobListing.htm?pos=211&ao=1136043&s=58&guid=0000018794e01d769d17fced18b5fd54&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_94c7ba42&cb=1681829928663&jobListingId=1008549037860&jrtk=3-0-1guae07cikhqt801-1guae07d9i3bl800-030be449031a5566-
